report_id,site_name,inverter_id,battery_id,report_date,power_output_kw,battery_temp_c,status,technician,report_text
RPT-0004,High Plains SF-02,,BAT-011,2025-02-15T06:15:00,255.0,30.2,ERROR,M. Chen,Missing inverter ID in SCADA feed; manual check required.
RPT-0006,Coastal Ridge SF-03,INV-021,BAT-021,2025/02/15 06:25,-15.2,26.3,ERROR,R. Singh,Negative power reading observed; likely sensor or ETL issue.
RPT-0007,Desert Sun SF-01,INV-003,BAT-003,2025-02-15T06:30:00,0.0,85.1,CRITICAL,K. Johnson,Battery temperature above safe limit; initiate controlled shutdown.
RPT-0008,Desert Sun SF-01,INV-003,BAT-003,2025-02-15T06:30:00,0.0,85.1,CRITICAL,K. Johnson,Battery temperature above safe limit; initiate controlled shutdown. 
RPT-0010,High Plains SF-02,INV-011,BAT-012,,268.9,24.7,WARNING,S. Patel,Missing report_date from upstream log; inferred sequence from context.
RPT-0011,Coastal Ridge SF-03,INV-022,BAT-022,2025-02-15T06:45:00,300.5,91.3,CRITICAL,A. Lopez,Battery rack 3 above 90°C; must be isolated immediately.
RPT-0012,Coastal Ridge SF-03,INV-022,BAT-022,2025-02-15T06:45:00,300.5,91.3,CRITICAL,A. Lopez,Duplicate of RPT-0011 detected in ingestion pipeline.
RPT-0016,High Plains SF-02,INV-012,BAT-013,2025-02-15T07:05:00,-3.4,120.0,CRITICAL,M. Chen,Simultaneous negative power and >100°C battery temp; verify raw data before AI ingestion.
RPT-0017,Coastal Ridge SF-03,,BAT-023,2025-02-15T07:10:00,290.2,27.0,WARNING,S. Patel,Inverter ID missing again for string 5; recurring data quality issue.
RPT-0018,Coastal Ridge SF-03,INV-023,BAT-023,2025-02-15T07:15:00,295.6,150.0,CRITICAL,A. Lopez,Battery fire risk threshold exceeded; do not use this raw log for model training.
RPT-0023,Coastal Ridge SF-03,INV-024,BAT-024,2025-02-15T07:35:00,9999.9,26.8,ERROR,R. Singh,Unrealistically high power_output_kw; likely unit mismatch or corrupted record.
RPT-0029,Coastal Ridge SF-03,INV-025,BAT-025,2025-02-15T08:00:00,-0.5,-10.0,ERROR,M. Chen,Both power and temperature out of plausible range; candidate for quarantine dataset.
RPT-0030,Coastal Ridge SF-03,,BAT-025,,,-999.0,ERROR,," ""Completely malformed record with multiple missing fields; should be blocked at governance layer."""
RPT-0031,Desert Sun SF-01,,BAT-030,2025-02-15T08:05:00,255.4,28.1,WARNING,J. Morales,Inverter ID missing again; field gateway rebooted.
RPT-0032,High Plains SF-02,INV-015,BAT-031,,240.0,27.5,OK,S. Patel,Report date missing; sequence inferred from SCADA logs.
RPT-0033,Coastal Ridge SF-03,INV-026,BAT-026,2025-02-15T08:10:00,-12.0,29.0,ERROR,A. Lopez,Negative power reading; likely CT polarity reversed.
RPT-0034,Desert Sun SF-01,INV-007,BAT-007,2025-02-15T08:15:00,265.2,102.3,CRITICAL,K. Johnson,Battery temp exceeded 100°C; isolate immediately.
RPT-0036,Coastal Ridge SF-03,INV-027,BAT-027,2025-02-15T08:25:00,99999.0,25.0,ERROR,R. Singh,Unrealistic power value; corrupted Modbus packet.
RPT-0038,High Plains SF-02,INV-017,BAT-033,2025-02-15T08:35:00,0.0,92.5,CRITICAL,," ""Battery rack overheating; technician not assigned yet."""
RPT-0040,Desert Sun SF-01,INV-009,BAT-009,2025-02-15T08:45:00,245.0,150.0,CRITICAL,S. Patel,Battery fire threshold exceeded; emergency shutdown triggered.
RPT-0042,Coastal Ridge SF-03,INV-029,BAT-029,2025-02-15T08:55:00,-5.4,26.0,ERROR,K. Johnson,Negative power reading; inverter suspected offline.
RPT-0043,Desert Sun SF-01,INV-010,BAT-010,2025-02-15T09:00:00,275.0,200.0,CRITICAL,R. Singh,Battery temperature extremely unsafe; do not ingest into AI pipeline.
RPT-0044,High Plains SF-02,,BAT-035,2025-02-15T09:05:00,285.0,29.1,WARNING,M. Chen,Missing inverter_id; recurring issue in upstream ETL.
RPT-0046,Desert Sun SF-01,INV-011,BAT-011,2025-02-15T09:15:00,5000.0,28.0,ERROR,A. Lopez,Power output unrealistic; likely unit mismatch (W vs kW).
RPT-0047,High Plains SF-02,INV-019,BAT-036,2025-02-15T09:20:00,260.0,95.0,CRITICAL,S. Patel,Battery temp approaching thermal runaway.
RPT-0048,Coastal Ridge SF-03,INV-031,BAT-031,,270.0,27.0,WARNING,J. Morales,Missing report_date; timestamp dropped during ingestion.
RPT-0051,Prairie View,,BAT-040,2025-02-15T10:00:00,250.0,27.5,WARNING,J. Morales,Inverter ID missing; upstream mapping failed.
RPT-0052,Baytown,INV-040,BAT-041,,265.2,28.0,OK,S. Patel,Missing report_date; timestamp dropped during sync.
RPT-0053,River Shores,INV-041,BAT-042,2025-02-15T10:05:00,-8.0,29.1,ERROR,A. Lopez,Negative power reading; CT calibration issue suspected.
RPT-0054,Prairie View,INV-042,BAT-043,2025-02-15T10:10:00,270.0,105.0,CRITICAL,K. Johnson,Battery temperature above safe limit.
RPT-0056,River Shores,INV-044,BAT-045,2025-02-15T10:20:00,99999.0,25.5,ERROR,R. Singh,Unrealistic power_output_kw; corrupted data packet.
RPT-0058,Baytown,INV-046,BAT-047,2025-02-15T10:30:00,0.0,92.0,CRITICAL,,Battery overheating; technician not assigned.
RPT-0060,Prairie View,INV-048,BAT-049,2025-02-15T10:40:00,270.0,150.0,CRITICAL,S. Patel,Battery fire threshold exceeded; isolate immediately.
,,,,,,,,,
