report_id,site_name,inverter_id,battery_id,report_date,power_output_kw,battery_temp_c,status,technician,report_text
RPT-0001,Desert Sun SF-01,INV-001,BAT-001,2025-02-15T06:00:00,245.3,32.5,OK,J. Morales,"Routine inspection completed, no anomalies detected."
RPT-0002,Desert Sun SF-01,INV-002,BAT-002,2025-02-15T06:05:00,251.8,78.9,WARNING,S. Patel,Battery temperature trending high near string 2.
RPT-0003,High Plains SF-02,INV-010,BAT-010,2025-02-15 06:10,260.1,29.4,OK,," ""Inverter restart successful after brief trip; technician name not recorded."""
RPT-0004,High Plains SF-02,,BAT-011,2025-02-15T06:15:00,255.0,30.2,ERROR,M. Chen,Missing inverter ID in SCADA feed; manual check required.
RPT-0005,Coastal Ridge SF-03,INV-020,BAT-020,15-02-2025 06:20,248.7,27.9,OK,A. Lopez,Timestamp format inconsistent with standard ISO 8601.
RPT-0006,Coastal Ridge SF-03,INV-021,BAT-021,2025/02/15 06:25,-15.2,26.3,ERROR,R. Singh,Negative power reading observed; likely sensor or ETL issue.
RPT-0007,Desert Sun SF-01,INV-003,BAT-003,2025-02-15T06:30:00,0,85.1,CRITICAL,K. Johnson,Battery temperature above safe limit; initiate controlled shutdown.
RPT-0008,Desert Sun SF-01,INV-003,BAT-003,2025-02-15T06:30:00,0,85.1,CRITICAL,K. Johnson,Battery temperature above safe limit; initiate controlled shutdown. 
RPT-0009,High Plains SF-02,INV-011,BAT-012,2025-02-15T06:35:00,272.4,25.0,OK,J. Morales,Cleared prior alarm; system stable.
RPT-0010,High Plains SF-02,INV-011,BAT-012,,268.9,24.7,WARNING,S. Patel,Missing report_date from upstream log; inferred sequence from context.
RPT-0011,Coastal Ridge SF-03,INV-022,BAT-022,2025-02-15T06:45:00,300.5,91.3,CRITICAL,A. Lopez,Battery rack 3 above 90°C; must be isolated immediately.
RPT-0012,Coastal Ridge SF-03,INV-022,BAT-022,2025-02-15T06:45:00,300.5,91.3,CRITICAL,A. Lopez,Duplicate of RPT-0011 detected in ingestion pipeline.
RPT-0013,Desert Sun SF-01,INV-004,BAT-004,2025-02-15T06:50:00,265.0,-5.0,ERROR,R. Singh,Battery temperature reading below plausible range; sensor likely misconfigured.
